"WorkerId","idx","Label"
"A3O6D3HPXD0H8I","0","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","0","Fair - Noise is audible, and it is slightly annoying"
"A6DX45U3O1CR","0","Excellent - No noise is audible"
"A2FCGEU5RTEWG8","1","Poor - Noise is audible, and it is annoying"
"A2MCG5W6LHSRG9","1","Fair - Noise is audible, and it is slightly annoying"
"A3OLRWACCCCUTU","1","Poor - Noise is audible, and it is annoying"
"A1FP3SH704X01V","10","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","10","Fair - Noise is audible, and it is slightly annoying"
"A6DX45U3O1CR","10","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","100","Good - Noise is audible, but it is not annoying"
"A3OLRWACCCCUTU","100","Excellent - No noise is audible"
"A3TDUHEBFJ53NM","100","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","101","Good - Noise is audible, but it is not annoying"
"A3OLRWACCCCUTU","101","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","101","Good - Noise is audible, but it is not annoying"
"A1FP3SH704X01V","102","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","102","Excellent - No noise is audible"
"ARTQWWNFA7IOD","102","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","103","Excellent - No noise is audible"
"A3OLRWACCCCUTU","103","Excellent - No noise is audible"
"A3P7M9666KJCP","103","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","104","Excellent - No noise is audible"
"A31Z5TPD8QKE26","104","Excellent - No noise is audible"
"A3OLRWACCCCUTU","104","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","105","Fair - Noise is audible, and it is slightly annoying"
"A34M93NJC830DP","105","Poor - Noise is audible, and it is annoying"
"A6DX45U3O1CR","105","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","106","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","106","Excellent - No noise is audible"
"ARTQWWNFA7IOD","106","Excellent - No noise is audible"
"A2GM5BW75YCKKW","107","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","107","Excellent - No noise is audible"
"A3OLRWACCCCUTU","107","Excellent - No noise is audible"
"A1FP3SH704X01V","108","Excellent - No noise is audible"
"A34M93NJC830DP","108","Fair - Noise is audible, and it is slightly annoying"
"A3OLRWACCCCUTU","108","Good - Noise is audible, but it is not annoying"
"A2MCG5W6LHSRG9","109","Fair - Noise is audible, and it is slightly annoying"
"A34M93NJC830DP","109","Fair - Noise is audible, and it is slightly annoying"
"A6OPXUFETV2BY","109","Good - Noise is audible, but it is not annoying"
"A2MCG5W6LHSRG9","11","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","11","Good - Noise is audible, but it is not annoying"
"A3TDUHEBFJ53NM","11","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","110","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","110","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","110","Fair - Noise is audible, and it is slightly annoying"
"A3OLRWACCCCUTU","111","Excellent - No noise is audible"
"A6DX45U3O1CR","111","Excellent - No noise is audible"
"A6OPXUFETV2BY","111","Fair - Noise is audible, and it is slightly annoying"
"A2J237J8KM3OCS","112","Poor - Noise is audible, and it is annoying"
"A2VE5IV9OD2SK1","112","Fair - Noise is audible, and it is slightly annoying"
"A2WCCV1W8UE8ED","112","Good - Noise is audible, but it is not annoying"
"A34M93NJC830DP","113","Poor - Noise is audible, and it is annoying"
"A3O6D3HPXD0H8I","113","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","113","Poor - Noise is audible, and it is annoying"
"A3P7M9666KJCP","114","Excellent - No noise is audible"
"A3TDUHEBFJ53NM","114","Excellent - No noise is audible"
"A6DX45U3O1CR","114","Excellent - No noise is audible"
"A2HM35CWB7IIFM","115","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","115","Excellent - No noise is audible"
"A3TDUHEBFJ53NM","115","Excellent - No noise is audible"
"A2J237J8KM3OCS","116","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","116","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","116","Good - Noise is audible, but it is not annoying"
"A2MCG5W6LHSRG9","117","Good - Noise is audible, but it is not annoying"
"A34M93NJC830DP","117","Excellent - No noise is audible"
"A3OLRWACCCCUTU","117","Good - Noise is audible, but it is not annoying"
"A1BQBQG2GNY8AY","118","Fair - Noise is audible, and it is slightly annoying"
"A1FP3SH704X01V","118","Excellent - No noise is audible"
"A3CJVRJ34U70Y9","118","Poor - Noise is audible, and it is annoying"
"A2VE5IV9OD2SK1","119","Excellent - No noise is audible"
"A3OLRWACCCCUTU","119","Excellent - No noise is audible"
"A3P7M9666KJCP","119","Excellent - No noise is audible"
"A1FP3SH704X01V","12","Excellent - No noise is audible"
"A1YSYI926BBOHW","12","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","12","Poor - Noise is audible, and it is annoying"
"A34M93NJC830DP","120","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","120","Fair - Noise is audible, and it is slightly annoying"
"A6DX45U3O1CR","120","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","121","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","121","Good - Noise is audible, but it is not annoying"
"A3TDUHEBFJ53NM","121","Good - Noise is audible, but it is not annoying"
"A122E99M2DQY1G","122","Excellent - No noise is audible"
"A34M93NJC830DP","122","Excellent - No noise is audible"
"A3P7M9666KJCP","122","Good - Noise is audible, but it is not annoying"
"A1DOJTVB7GXJH7","123","Good - Noise is audible, but it is not annoying"
"A2HM35CWB7IIFM","123","Excellent - No noise is audible"
"A34M93NJC830DP","123","Excellent - No noise is audible"
"A1DOJTVB7GXJH7","124","Fair - Noise is audible, and it is slightly annoying"
"A3OLRWACCCCUTU","124","Good - Noise is audible, but it is not annoying"
"APSN3KV49VLKX","124","Excellent - No noise is audible"
"A11SX02CICZN85","125","Good - Noise is audible, but it is not annoying"
"A2MCG5W6LHSRG9","125","Fair - Noise is audible, and it is slightly annoying"
"A3O6D3HPXD0H8I","125","Fair - Noise is audible, and it is slightly annoying"
"A2VE5IV9OD2SK1","126","Excellent - No noise is audible"
"A3RQJM16UBTZKK","126","Fair - Noise is audible, and it is slightly annoying"
"A6DX45U3O1CR","126","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","127","Excellent - No noise is audible"
"A31Z5TPD8QKE26","127","Excellent - No noise is audible"
"A3P7M9666KJCP","127","Good - Noise is audible, but it is not annoying"
"A2MCG5W6LHSRG9","128","Fair - Noise is audible, and it is slightly annoying"
"A2VE5IV9OD2SK1","128","Fair - Noise is audible, and it is slightly annoying"
"A3O6D3HPXD0H8I","128","Fair - Noise is audible, and it is slightly annoying"
"A1DOJTVB7GXJH7","129","Good - Noise is audible, but it is not annoying"
"A2J237J8KM3OCS","129","Poor - Noise is audible, and it is annoying"
"A3OLRWACCCCUTU","129","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","13","Fair - Noise is audible, and it is slightly annoying"
"A3RQJM16UBTZKK","13","Excellent - No noise is audible"
"A3TDUHEBFJ53NM","13","Bad - Noise is audible, and it is very annoying"
"A2VE5IV9OD2SK1","130","Excellent - No noise is audible"
"A3OLRWACCCCUTU","130","Excellent - No noise is audible"
"A3P7M9666KJCP","130","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","131","Excellent - No noise is audible"
"A3OLRWACCCCUTU","131","Excellent - No noise is audible"
"ASWZO1WY1UHEP","131","Poor - Noise is audible, and it is annoying"
"A2MCG5W6LHSRG9","132","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","132","Excellent - No noise is audible"
"A3P7M9666KJCP","132","Excellent - No noise is audible"
"A1FP3SH704X01V","133","Excellent - No noise is audible"
"A3OLRWACCCCUTU","133","Excellent - No noise is audible"
"A3P7M9666KJCP","133","Excellent - No noise is audible"
"A1DOJTVB7GXJH7","134","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","134","Excellent - No noise is audible"
"A3P7M9666KJCP","134","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","135","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","135","Excellent - No noise is audible"
"ARTQWWNFA7IOD","135","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","136","Good - Noise is audible, but it is not annoying"
"A3OLRWACCCCUTU","136","Excellent - No noise is audible"
"A3P7M9666KJCP","136","Excellent - No noise is audible"
"A1FP3SH704X01V","137","Excellent - No noise is audible"
"A2J237J8KM3OCS","137","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","137","Excellent - No noise is audible"
"A3O6D3HPXD0H8I","138","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","138","Fair - Noise is audible, and it is slightly annoying"
"ARTQWWNFA7IOD","138","Excellent - No noise is audible"
"A2J237J8KM3OCS","139","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","139","Excellent - No noise is audible"
"A3O6D3HPXD0H8I","139","Excellent - No noise is audible"
"A1YSYI926BBOHW","14","Good - Noise is audible, but it is not annoying"
"A2J237J8KM3OCS","14","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","14","Poor - Noise is audible, and it is annoying"
"A1FP3SH704X01V","140","Excellent - No noise is audible"
"A3OLRWACCCCUTU","140","Excellent - No noise is audible"
"A3P7M9666KJCP","140","Excellent - No noise is audible"
"A2VE5IV9OD2SK1","141","Excellent - No noise is audible"
"A34M93NJC830DP","141","Excellent - No noise is audible"
"ASWZO1WY1UHEP","141","Excellent - No noise is audible"
"A1DOJTVB7GXJH7","142","Excellent - No noise is audible"
"A2J237J8KM3OCS","142","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","142","Good - Noise is audible, but it is not annoying"
"A1NOINYD1FZ55T","143","Fair - Noise is audible, and it is slightly annoying"
"A2MCG5W6LHSRG9","143","Fair - Noise is audible, and it is slightly annoying"
"A9HQ3E0F2AGVO","143","Excellent - No noise is audible"
"A2GM5BW75YCKKW","144","Excellent - No noise is audible"
"A2MCG5W6LHSRG9","144","Good - Noise is audible, but it is not annoying"
"A2VE5IV9OD2SK1","144","Excellent - No noise is audible"
"A3P7M9666KJCP","145","Poor - Noise is audible, and it is annoying"
"A6DX45U3O1CR","145","Good - Noise is audible, but it is not annoying"
"ASWZO1WY1UHEP","145","Good - Noise is audible, but it is not annoying"
"A1DOJTVB7GXJH7","146","Poor - Noise is audible, and it is annoying"
"A1NOINYD1FZ55T","146","Fair - Noise is audible, and it is slightly annoying"
"A34M93NJC830DP","146","Fair - Noise is audible, and it is slightly annoying"
"A1NOINYD1FZ55T","147","Fair - Noise is audible, and it is slightly annoying"
"A34M93NJC830DP","147","Excellent - No noise is audible"
"ARTQWWNFA7IOD","147","Excellent - No noise is audible"
"A1NOINYD1FZ55T","148","Fair - Noise is audible, and it is slightly annoying"
"A31Z5TPD8QKE26","148","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","148","Good - Noise is audible, but it is not annoying"
"A3OLRWACCCCUTU","149","Bad - Noise is audible, and it is very annoying"
"A3P7M9666KJCP","149","Bad - Noise is audible, and it is very annoying"
"A6DX45U3O1CR","149","Poor - Noise is audible, and it is annoying"
"A122E99M2DQY1G","15","Excellent - No noise is audible"
"A3P7M9666KJCP","15","Good - Noise is audible, but it is not annoying"
"A3TDUHEBFJ53NM","15","Good - Noise is audible, but it is not annoying"
"A1NOINYD1FZ55T","150","Poor - Noise is audible, and it is annoying"
"A3O6D3HPXD0H8I","150","Good - Noise is audible, but it is not annoying"
"A6DX45U3O1CR","150","Excellent - No noise is audible"
"A1NOINYD1FZ55T","151","Bad - Noise is audible, and it is very annoying"
"A3OLRWACCCCUTU","151","Excellent - No noise is audible"
"A6DX45U3O1CR","151","Good - Noise is audible, but it is not annoying"
"A2J237J8KM3OCS","152","Poor - Noise is audible, and it is annoying"
"A2VE5IV9OD2SK1","152","Good - Noise is audible, but it is not annoying"
"A3P7M9666KJCP","152","Fair - Noise is audible, and it is slightly annoying"
"A122E99M2DQY1G","153","Excellent - No noise is audible"
"A3P7M9666KJCP","153","Poor - Noise is audible, and it is annoying"
"ARTQWWNFA7IOD","153","Excellent - No noise is audible"
"A3O6D3HPXD0H8I","154","Fair - Noise is audible, and it is slightly annoying"
"A3P7M9666KJCP","154","Good - Noise is audible, but it is not annoying"
"A6DX45U3O1CR","154","Good - Noise is audible, but it is not annoying"
"A1NOINYD1FZ55T","155","Excellent - No noise is audible"
